video_id,number_of_frames,total_distance,activity_ratio,processing_status
Subj_100_part_3,156,129.22395574244334,0.0,ok
Subj_100_part_30,144,39.22792206135786,0.0,ok
Subj_100_part_31,156,49.34595605010775,0.0,ok
Subj_100_part_32,144,71.35488853931658,0.013986013986013986,ok
Subj_100_part_33,156,47.77817459305203,0.0,ok
Subj_100_part_34,144,283.62421951221927,0.027972027972027972,ok
Subj_100_part_35,140,1112.908100686012,0.3597122302158273,ok
Subj_100_part_36,131,220.74235079959075,0.038461538461538464,ok
Subj_100_part_37,156,49.724635706548106,0.0,ok
Subj_100_part_38,133,116.22298251991467,0.030303030303030304,ok
Subj_100_part_39,145,426.6913775715814,0.2013888888888889,ok
Subj_100_part_4,117,90.14390439358769,0.0,ok
Subj_100_part_40,144,127.35178762295781,0.02097902097902098,ok
Subj_100_part_41,156,44.89949493661167,0.0,ok
Subj_100_part_42,138,258.37530492594135,0.0948905109489051,ok
Subj_100_part_43,150,142.0108145440303,0.006711409395973154,ok
Subj_100_part_44,110,50.74026036322999,0.01834862385321101,ok
Subj_100_part_45,156,46.69238815542512,0.0,ok
Subj_100_part_46,144,39.77817459305202,0.0,ok
Subj_100_part_47,156,138.67878993366114,0.05161290322580645,ok
Subj_100_part_48,144,49.56778145705573,0.0,ok
Subj_100_part_49,156,45.05634918610404,0.0,ok
Subj_100_part_5,122,77.78883709115942,0.0,ok
Subj_100_part_50,144,259.914787971942,0.16783216783216784,ok
Subj_100_part_51,156,47.76345596729059,0.0,ok
Subj_100_part_52,144,33.44974746830583,0.0,ok
Subj_100_part_53,156,46.36396103067893,0.0,ok
Subj_100_part_54,144,49.396208581801915,0.0,ok
Subj_100_part_55,152,690.9269988432209,0.2913907284768212,ok
Subj_100_part_56,94,602.5156911346457,0.43010752688172044,ok
Subj_100_part_57,156,689.3174301861447,0.24516129032258063,ok
Subj_100_part_58,83,293.5488996559861,0.17073170731707318,ok
Subj_100_part_59,156,735.1273031485453,0.21935483870967742,ok
